21/03/03 03:24:50;43;124
21/03/03 03:25:50;43;0
21/03/03 03:26:50;43;0
21/03/03 03:27:50;43;52
21/03/03 03:28:50;43;0
21/03/03 03:29:50;45;0
21/03/03 03:30:50;43;96
21/03/03 03:31:50;43;108
21/03/03 03:32:50;44;0
21/03/03 03:33:50;43;84
21/03/03 03:34:50;44;44
21/03/03 03:35:50;43;188
21/03/03 03:36:50;43;28
21/03/03 03:37:50;43;52
21/03/03 03:38:50;43;160
21/03/03 03:39:50;43;364
21/03/03 03:40:50;43;912
21/03/03 03:41:50;45;0
21/03/03 03:42:50;43;0
21/03/03 03:43:50;43;260
21/03/03 03:44:50;43;432
21/03/03 03:45:50;43;0
21/03/03 03:46:50;43;52
21/03/03 03:47:50;43;152
21/03/03 03:48:50;45;0
21/03/03 03:49:50;43;32
21/03/03 03:50:50;44;1036
21/03/03 03:51:50;45;0
21/03/03 03:52:50;42;0
21/03/03 03:53:50;43;28
21/03/03 03:54:50;42;48
21/03/03 03:55:50;44;0
21/03/03 03:56:50;43;0
21/03/03 03:57:50;43;76
21/03/03 03:58:50;43;0
21/03/03 03:59:50;43;828
21/03/03 04:00:50;43;344
21/03/03 04:01:50;43;68
21/03/03 04:02:50;43;64
21/03/03 04:03:50;43;48
21/03/03 04:04:50;44;0
21/03/03 04:05:50;43;0
21/03/03 04:06:50;43;4
21/03/03 04:07:50;43;696
21/03/03 04:08:50;44;184
21/03/03 04:09:50;43;336
21/03/03 04:10:50;50;2020
21/03/03 04:11:50;43;400
21/03/03 04:12:50;43;0
21/03/03 04:13:50;46;0
21/03/03 04:14:50;43;52
21/03/03 04:15:50;43;60
21/03/03 04:16:50;43;3020
21/03/03 04:17:50;43;856
21/03/03 04:18:50;43;836
21/03/03 04:19:50;42;1032
21/03/03 04:20:50;43;0
21/03/03 04:21:51;44;0
21/03/03 04:22:51;43;0
21/03/03 04:23:51;43;80
21/03/03 04:24:51;44;0
21/03/03 04:25:51;43;0
21/03/03 04:26:51;43;332
21/03/03 04:27:51;43;200
21/03/03 04:28:51;43;980
21/03/03 04:29:51;43;0
21/03/03 04:30:51;45;0
